initiated_block_number,initiated_block_timestamp,initiated_transaction_hash,sender,target,value,initiated_withdrawal_hash,proven_block_number,proven_block_timestamp,proven_transaction_hash,proven_withdrawal_hash,finalized_block_number,finalized_block_timestamp,finalized_transaction_hash,finalized_withdrawal_hash
107316019,2023-07-24 20:33:35,0x9f3259a34f99a9195f77cf4afdb831f40c8eb68bae88982357078db5e76892a7,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,14597568283041384,0xfe7bf91930490927ce0f015e6d03d31db950f2ddcabecc47c3bc3f51f886ecee,0,,,,0,,,
120609516,2024-05-27 21:50:09,0x8fb2613b20b282d556da2e06548d73d6802c5dcde56da32b96a8756d349e7089,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,10000000000000000,0x036fb0414d6a9e2c73569df0de458b57b61e7b069946f780acc355e7273b3aed,0,,,,0,,,
120612639,2024-05-27 23:34:15,0x3cc34ce5178c9d0abae6e1ab0764feba22390e46c4ef0401eca2501d3d433352,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,1000000000000,0x74983527a155b3012d4b98b3d32b014446210e9c722c16f241d6385725fd37cb,0,,,,0,,,
107358811,2023-07-25 20:19:59,0x36cc67edd23d5bbf3ff3fbd88d972eeb9875773050f350f96586ea03e06077d5,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,100000000000000,0x8dc3e3d8037e4737b3892c543c2659166a8fc836fd7b7a2d739a7b48e1edf5c0,0,,,,0,,,
106015898,2023-06-24 18:16:13,0x8303b7dfaa73084e0a46c795410857ed7960a82da2f61184d8b3934fc9d0fdbd,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,48120000000000000,0xfb05632ac0dc79ab6539921de8884e0ac2a6ab7a5f7055f1ee4d9a243344a296,0,,,,0,,,
120577605,2024-05-27 04:06:27,0x932803e5a4ca4656ec2a3baee6c55bd2a4dddff983af86a6b0edc78d783250c6,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,800000000000000,0xe301090a27eb6a1e1341512f5201e11479644c29f39379e700cbdf6a02b2a096,0,,,,0,,,
106444253,2023-07-04 16:14:43,0xd8bee4400204fe3de692361e779629b1e2396028861d24199a56cd6459ea9b8f,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,22370230587600,0xe2803da7412dc7346d78c3cdabc7c4a7d69acbf5789897ffc8d219d5c8e2f830,0,,,,0,,,
106986021,2023-07-17 05:13:39,0x46e67df620991e31bcff6c193a3e91387940071b092824425fed20967adde02f,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,15100000000000000,0x6329ba5ae876751b98271f9050761647a292899d962e618949e71fb5dfed39c2,0,,,,0,,,
121594842,2024-06-19 17:14:21,0x260ee1ae79a2b781f2e5e8e08b88085598e762124c3f89403f08939f80d7d746,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,33000000000000000,0xd1156540c258cb59500fda7677f3ee9677071427e7d437bce3aa78726759b4b1,0,,,,0,,,
108623568,2023-08-24 02:58:33,0x458bda891a047aec73da3e47523cabd3de70cd237b4b94ad6ef1ffbc7afb52fe,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,7000000000000000,0x108207b78e44498ef3244f99037d5951a2c6d5b5f7c119e0eca204cdb31bf644,0,,,,0,,,
108959104,2023-08-31 21:23:05,0x2eef3c4fbae0cc51ec11722cdbc0643d0ebfc79d3f84872c259b4c1337d8efde,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,45000000000000000,0x8ddfdc74d69a80c0c1e2f8c9a6dc6b4b9de95aff65292d2b873f8320ab22b14f,0,,,,0,,,
108418965,2023-08-19 09:18:27,0x0a83832012cbc291744cd63f59e684012aedb5ab0232968e39a659716c28defc,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,1009450245483480,0x48c812c706660ad1b5cce78cfa1fb2d33b34961d6647fe3d2217d562fb8b386f,0,,,,0,,,
118071788,2024-03-29 19:59:13,0xa16cab919cd20d3949f8207ef4eda1fbaf8e6456a205af749fae64cab2c31d45,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,10000000000000,0xa3daeeedddccc0458d7559a90223b6abc5c343a481df8050ce7110319264915a,0,,,,0,,,
122335146,2024-07-06 12:31:09,0xba8009c0434567027d92a8854c7a2dd2c552581dbe2df1ad9adce12c0bd816cc,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,3300000000000000,0x23d246f0ac0ae52fd001a8923856bedd761088c79d0e213f936f13ecbacb83db,0,,,,0,,,
106766677,2023-07-12 03:22:11,0x3ffd80333a2afde96f4e53c3594eed32571261ea55f9c8ff9366e89ed2d40a57,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,16000000000000000,0x3a2a437a5e7abe47b6f03e81fecef9a49207b3cff6b1483ee5eddf8b3b366df4,0,,,,0,,,
