date,initiated_volume,proved_volume,finalized_volume,deposited_volume,daily_difference,cumulative_initiated,cumulative_proved,cumulative_finalized,cumulative_deposited
2024-02-13,4637989.764147583,4630992.702935378,4630612.481921351,40252.76538032137,-4597736.998767262,1064030010.4423639,1059653700.9468349,1057511654.1461985,81935404.2986008
2024-02-14,188289.95758398465,187299.39260111976,187038.86575512786,57079.8119859605,-131210.14559802416,1064218300.3999479,1059841000.339436,1057698693.0119536,81992484.11058675
2024-02-15,134763.84505156835,133149.12118798558,132848.73045799742,40524.93422617607,-94238.91082539229,1064353064.2449994,1059974149.4606241,1057831541.7424116,82033009.04481292
2024-02-16,1800233.2015561005,1799238.1004096498,1796390.3564450762,57488.966231553924,-1742744.2353245467,1066153297.4465555,1061773387.5610337,1059627932.0988567,82090498.01104447
2024-02-17,606544.3534293742,603739.9633476555,602762.6750265507,58977.88218091105,-547566.4712484631,1066759841.7999848,1062377127.5243814,1060230694.7738832,82149475.89322539
2024-02-18,596182.1199444039,594846.2182807291,594635.1690007296,55363.74398312094,-540818.375961283,1067356023.9199293,1062971973.7426621,1060825329.942884,82204839.6372085
2024-02-19,161989.88704077378,157762.1097048043,157026.5262958124,39162.749287931445,-122827.13775284233,1067518013.80697,1063129735.8523669,1060982356.4691797,82244002.38649644
2024-02-20,455362.56890340557,448083.13234600815,447585.50210398645,46216.09395161088,-409146.4749517947,1067973376.3758734,1063577818.984713,1061429941.9712838,82290218.48044805
2024-02-21,520984.96679137944,518240.7839074021,517673.9006493832,65407.930042760345,-455577.0367486191,1068494361.3426648,1064096059.7686204,1061947615.8719332,82355626.41049081
2024-02-22,1557370.6327126052,1555947.5722903593,1555820.8732903656,27237.190799254633,-1530133.4419133505,1070051731.9753774,1065652007.3409107,1063503436.7452236,82382863.60129006
2024-02-23,1534280.6839856259,1533853.5777091586,1533502.267709212,18473.729794696195,-1515806.9541909297,1071586012.659363,1067185860.9186199,1065036939.0129329,82401337.33108476
2024-02-24,300127.8316712516,279028.30717018637,278551.82575602835,35532.35590215034,-264595.4757691013,1071886140.4910343,1067464889.22579,1065315490.838689,82436869.68698691
2024-02-25,5803975.566652459,5799265.294502255,5798769.842380025,67485.28869659547,-5736490.277955864,1077690116.0576868,1073264154.5202923,1071114260.681069,82504354.97568351
